"","path_length_norm","v_mean_norm","a_mean_norm","j_mean_norm","c_mean_norm","tip_distance_mean_norm","v_sd_norm","a_sd_norm","j_sd_norm","c_sd_norm","tip_distance_sd_norm"
"path_length_norm",1,0.38721592851659,0.305595022766946,0.324888992160337,-0.232352250548419,0.104822657500644,0.373511280172451,0.243444949124982,0.317856076383973,-0.0575657809884719,0.171299777489832
"v_mean_norm",0.38721592851659,1,0.901265379364681,0.870442981329815,-0.184230293886688,0.106057034093107,0.89639737026773,0.605323850701856,0.570458089151412,0.0415986551509244,0.0245742497170294
"a_mean_norm",0.305595022766946,0.901265379364681,1,0.948691344687048,0.00797792342855085,0.0280441367298683,0.926321541803086,0.793637970669441,0.741019294270202,0.105969862380639,-0.0015769194503898
"j_mean_norm",0.324888992160337,0.870442981329815,0.948691344687048,1,0.054529043284972,0.0972875786790516,0.931287043131188,0.848435442921583,0.846989031536853,0.154730090974763,0.080040784356083
"c_mean_norm",-0.232352250548419,-0.184230293886688,0.00797792342855085,0.054529043284972,1,0.0553026719225008,0.0109084313630505,0.0531956592613453,0.0458929538964484,0.868672142567861,0.0259197822003006
"tip_distance_mean_norm",0.104822657500644,0.106057034093107,0.0280441367298683,0.0972875786790516,0.0553026719225008,1,0.122124649835399,0.00365432426832174,0.0119286234590655,0.111736497092667,0.113632923832113
"v_sd_norm",0.373511280172451,0.89639737026773,0.926321541803086,0.931287043131188,0.0109084313630505,0.122124649835399,1,0.8004865413103,0.771121740452866,0.143140729166461,0.0550900797172882
"a_sd_norm",0.243444949124982,0.605323850701856,0.793637970669441,0.848435442921583,0.0531956592613453,0.00365432426832174,0.8004865413103,1,0.958738212833741,0.0902874490067624,0.155896344910336
"j_sd_norm",0.317856076383973,0.570458089151412,0.741019294270202,0.846989031536853,0.0458929538964484,0.0119286234590655,0.771121740452866,0.958738212833741,1,0.0728245475546479,0.204777399942233
"c_sd_norm",-0.0575657809884719,0.0415986551509244,0.105969862380639,0.154730090974763,0.868672142567861,0.111736497092667,0.143140729166461,0.0902874490067624,0.0728245475546479,1,0.111730450150166
"tip_distance_sd_norm",0.171299777489832,0.0245742497170294,-0.0015769194503898,0.080040784356083,0.0259197822003006,0.113632923832113,0.0550900797172882,0.155896344910336,0.204777399942233,0.111730450150166,1
