"","path_length_norm","v_mean_norm","a_mean_norm","j_mean_norm","c_mean_norm","tip_distance_mean_norm","v_sd_norm","a_sd_norm","j_sd_norm","c_sd_norm","tip_distance_sd_norm"
"path_length_norm",1,0.508460708419358,0.528341496419698,0.519016420109475,-0.030189681610653,0.191264349640856,0.560278680455301,0.495531702449973,0.411607925637448,0.256625769214567,0.251731701367252
"v_mean_norm",0.508460708419358,1,0.9875591003141,0.965163513805474,-0.303212340564334,0.413065051315548,0.911128461590478,0.654075897200345,0.515302484568626,0.328451671928868,0.491634289943437
"a_mean_norm",0.528341496419698,0.9875591003141,1,0.981204423121936,-0.250482868385447,0.457215015365279,0.920764772911919,0.715813923052606,0.579067193874048,0.358693571446262,0.532946337161857
"j_mean_norm",0.519016420109475,0.965163513805474,0.981204423121936,1,-0.218713491262772,0.46647907428069,0.91848418012104,0.764586760222896,0.656083453729253,0.373440178631315,0.53858145687186
"c_mean_norm",-0.030189681610653,-0.303212340564334,-0.250482868385447,-0.218713491262772,1,0.113989917774475,-0.230834007050427,-0.0985641936535891,-0.0101010214311031,0.567191570542538,0.00951448616332944
"tip_distance_mean_norm",0.191264349640856,0.413065051315548,0.457215015365279,0.46647907428069,0.113989917774475,1,0.516257245759718,0.554311993866656,0.497490529911619,0.179661932263062,0.69648860824436
"v_sd_norm",0.560278680455301,0.911128461590478,0.920764772911919,0.91848418012104,-0.230834007050427,0.516257245759718,1,0.820256883010321,0.687932475448646,0.350881944055013,0.555799173402635
"a_sd_norm",0.495531702449973,0.654075897200345,0.715813923052606,0.764586760222896,-0.0985641936535891,0.554311993866656,0.820256883010321,1,0.961664801037335,0.328921069683959,0.592588523477544
"j_sd_norm",0.411607925637448,0.515302484568626,0.579067193874048,0.656083453729253,-0.0101010214311031,0.497490529911619,0.687932475448646,0.961664801037335,1,0.344499196813189,0.48050523435407
"c_sd_norm",0.256625769214567,0.328451671928868,0.358693571446262,0.373440178631315,0.567191570542538,0.179661932263062,0.350881944055013,0.328921069683959,0.344499196813189,1,0.231234110510201
"tip_distance_sd_norm",0.251731701367252,0.491634289943437,0.532946337161857,0.53858145687186,0.00951448616332944,0.69648860824436,0.555799173402635,0.592588523477544,0.48050523435407,0.231234110510201,1
