"","path_length_norm","v_mean_norm","a_mean_norm","j_mean_norm","c_mean_norm","tip_distance_mean_norm","v_sd_norm","a_sd_norm","j_sd_norm","c_sd_norm","tip_distance_sd_norm"
"path_length_norm",0,0.90871054582943,0.939394270523558,0.772186272634745,0.12854402675654,0.198789948758905,0.680611268042237,0.584118530477236,0.700259674944314,0.16500019149784,0.0109062890985147
"v_mean_norm",0.90871054582943,0,2.14226354095538e-20,3.60808721941847e-22,0.417152774935619,0.222118213067399,6.13983053870444e-15,8.23174144045162e-10,7.25283648040695e-08,0.0257466022266971,0.0175513131636312
"a_mean_norm",0.939394270523558,2.14226354095538e-20,0,7.80270784565358e-16,0.791120337530748,0.158065757204317,2.13208301073212e-14,2.76916904688853e-12,5.64771098649772e-07,0.0362034142780363,0.0362629974740974
"j_mean_norm",0.772186272634745,3.60808721941847e-22,7.80270784565358e-16,0,0.246069834813708,0.342273902697063,1.18464931026789e-19,2.17588145038181e-13,3.8089548215797e-13,0.0161754487963111,0.0144888789966915
"c_mean_norm",0.12854402675654,0.417152774935619,0.791120337530748,0.246069834813708,0,0.247336831767823,0.674923559510214,0.418949926393052,0.235198501196515,3.42539192842252e-05,0.81906282434454
"tip_distance_mean_norm",0.198789948758905,0.222118213067399,0.158065757204317,0.342273902697063,0.247336831767823,0,0.47719144804677,0.450150192377839,0.7064456889091,0.304007607613261,0.462680566868513
"v_sd_norm",0.680611268042237,6.13983053870444e-15,2.13208301073212e-14,1.18464931026789e-19,0.674923559510214,0.47719144804677,0,3.51039068902205e-19,7.74594552500876e-15,0.00599275691568533,0.0163154379356946
"a_sd_norm",0.584118530477236,8.23174144045162e-10,2.76916904688853e-12,2.17588145038181e-13,0.418949926393052,0.450150192377839,3.51039068902205e-19,0,2.79370407808896e-18,0.0383022747801689,0.0291606000591199
"j_sd_norm",0.700259674944314,7.25283648040695e-08,5.64771098649772e-07,3.8089548215797e-13,0.235198501196515,0.7064456889091,7.74594552500876e-15,2.79370407808896e-18,0,0.043150624549646,0.0578654524990711
"c_sd_norm",0.16500019149784,0.0257466022266971,0.0362034142780363,0.0161754487963111,3.42539192842252e-05,0.304007607613261,0.00599275691568533,0.0383022747801689,0.043150624549646,0,0.0694599424230496
"tip_distance_sd_norm",0.0109062890985147,0.0175513131636312,0.0362629974740974,0.0144888789966915,0.81906282434454,0.462680566868513,0.0163154379356946,0.0291606000591199,0.0578654524990711,0.0694599424230496,0
