"","path_length_norm","v_mean_norm","a_mean_norm","j_mean_norm","c_mean_norm","tip_distance_mean_norm","v_sd_norm","a_sd_norm","j_sd_norm","c_sd_norm","tip_distance_sd_norm"
"path_length_norm",0,1.13637957349965e-07,1.82477723204197e-07,2.30609926979639e-06,0.665393436718045,0.070176099795088,3.67163344941345e-06,0.00245459095804897,0.0130399656012437,0.085973077422054,0.0242365035999655
"v_mean_norm",1.13637957349965e-07,0,5.23936670948319e-42,3.22476268286966e-25,0.0181732980708598,1.57585055247952e-08,3.25814152747647e-35,1.23580663565748e-13,2.77229643557371e-09,0.125781775202605,1.72968809548086e-13
"a_mean_norm",1.82477723204197e-07,5.23936670948319e-42,0,7.36061697647956e-36,0.197220761468772,2.92753241850384e-08,4.83375232688986e-30,1.36919382540705e-20,4.26581534212395e-14,0.0129013196591303,1.07635139994762e-12
"j_mean_norm",2.30609926979639e-06,3.22476268286966e-25,7.36061697647956e-36,0,0.351176895930874,2.93391925998536e-08,1.28829907116494e-20,1.0256948812603e-21,2.95249540531466e-19,0.019658056203435,3.05025229952822e-12
"c_mean_norm",0.665393436718045,0.0181732980708598,0.197220761468772,0.351176895930874,0,0.551822670530179,0.0926559156311415,0.291595384517028,0.501605520854059,4.36889122758416e-15,0.0352352141034262
"tip_distance_mean_norm",0.070176099795088,1.57585055247952e-08,2.92753241850384e-08,2.93391925998536e-08,0.551822670530179,0,2.26754090735874e-08,0.000110214459864137,0.000286950177260823,0.0180414190486618,5.55852430348547e-12
"v_sd_norm",3.67163344941345e-06,3.25814152747647e-35,4.83375232688986e-30,1.28829907116494e-20,0.0926559156311415,2.26754090735874e-08,0,1.51314146221834e-13,3.37355589660779e-09,0.0251877029188277,5.41507597205438e-16
"a_sd_norm",0.00245459095804897,1.23580663565748e-13,1.36919382540705e-20,1.0256948812603e-21,0.291595384517028,0.000110214459864137,1.51314146221834e-13,0,1.44667511734977e-46,0.021370769192869,7.15769199633136e-10
"j_sd_norm",0.0130399656012437,2.77229643557371e-09,4.26581534212395e-14,2.95249540531466e-19,0.501605520854059,0.000286950177260823,3.37355589660779e-09,1.44667511734977e-46,0,0.0345980575693135,2.34323350808104e-08
"c_sd_norm",0.085973077422054,0.125781775202605,0.0129013196591303,0.019658056203435,4.36889122758416e-15,0.0180414190486618,0.0251877029188277,0.021370769192869,0.0345980575693135,0,0.314010000241612
"tip_distance_sd_norm",0.0242365035999655,1.72968809548086e-13,1.07635139994762e-12,3.05025229952822e-12,0.0352352141034262,5.55852430348547e-12,5.41507597205438e-16,7.15769199633136e-10,2.34323350808104e-08,0.314010000241612,0
