Frame Number ; Time Stamp ; Point Of Regard X ; Point Of Regard Y ; Pupil Area Right Eye, sq.mm ; Pupil Area Left Eye, sq.mm ; Pupil Area Right Eye, px ; Pupil Area Left Eye, px ; Score Value ; Score Value Left Eye ; Score Value Right Eye ; Clients Event
125933 ; 6424073.601 ; 0.0999 ; 0.1243 ; 0.50 ; 0.00 ; 73 ; 0 ; 0.25 ; 0.000 ; 0.000 ; click: x = 0.355, y = 0.1917
125934 ; 6424117.222 ; 0.0684 ; 0.1681 ; 0.31 ; 0.00 ; 47 ; 0 ; 0.35 ; 0.000 ; 0.000 ; click: x = 0.4972, y = 0.1729
125935 ; 6424149.098 ; 0.0396 ; 0.2055 ; 0.20 ; 0.00 ; 30 ; 0 ; 0.38 ; 0.000 ; 0.000 ; click: x = 0.6519, y = 0.1667
125936 ; 6424180.975 ; 0.0129 ; 0.2379 ; 0.13 ; 0.00 ; 19 ; 0 ; 0.39 ; 0.000 ; 0.000 ; click: x = 0.2175, y = 0.4562
125937 ; 6424222.499 ; 0.0034 ; 0.2696 ; 0.61 ; 0.00 ; 12 ; 0 ; 0.26 ; 0.000 ; 0.000 ; click: x = 0.4957, y = 0.4396
125938 ; 6424245.567 ; -0.0062 ; 0.2966 ; 0.35 ; 0.00 ; 8 ; 0 ; 0.28 ; 0.000 ; 0.000 ; click: x = 0.7707, y = 0.4313
125939 ; 6424279.122 ; -0.0155 ; 0.3777 ; 0.10 ; 0.00 ; 5 ; 0 ; 0.30 ; 0.000 ; 0.000 ; click: x = 0.7691, y = 0.4292
125940 ; 6424312.676 ; -0.0321 ; 0.4029 ; 0.05 ; 0.00 ; 3 ; 0 ; 0.37 ; 0.000 ; 0.000 ; click: x = 0.3503, y = 0.7375
125941 ; 6424346.231 ; -0.0329 ; 0.4036 ; 1.12 ; 0.00 ; 394 ; 0 ; 0.83 ; 0.651 ; 1.000 ; click: x = 0.4925, y = 0.7542
125942 ; 6424389.432 ; -0.0576 ; 0.4044 ; 0.07 ; 0.00 ; 197 ; 0 ; 0.34 ; 0.000 ; 0.000 ; click: x = 0.6613, y = 0.7292
125943 ; 6424415.017 ; -0.0456 ; 0.4920 ; 1.57 ; 0.00 ; 676 ; 0 ; 0.50 ; 0.639 ; 0.353 ; 
125944 ; 6424451.927 ; -0.0302 ; 0.5825 ; 1.94 ; 0.00 ; 955 ; 0 ; 0.49 ; 0.609 ; 0.362 ; 
125945 ; 6424485.062 ; 0.0123 ; 0.6251 ; 1.51 ; 0.00 ; 446 ; 0 ; 0.70 ; 0.635 ; 0.769 ; 
125946 ; 6424520.294 ; -0.0145 ; 0.6028 ; 0.92 ; 0.00 ; 285 ; 0 ; 0.41 ; 0.000 ; 0.000 ; 
125947 ; 6424560.979 ; -0.0375 ; 0.5807 ; 0.96 ; 0.00 ; 183 ; 0 ; 0.29 ; 0.000 ; 0.000 ; 
125948 ; 6424597.470 ; -0.0573 ; 0.5618 ; 0.65 ; 0.00 ; 117 ; 0 ; 0.33 ; 0.000 ; 0.000 ; 
125949 ; 6424629.766 ; -0.0721 ; 0.5471 ; 0.43 ; 0.00 ; 75 ; 0 ; 0.34 ; 0.000 ; 0.000 ; 
125950 ; 6424661.223 ; -0.0845 ; 0.5348 ; 0.28 ; 0.00 ; 48 ; 0 ; 0.35 ; 0.000 ; 0.000 ; 
125951 ; 6424693.100 ; -0.0088 ; 0.6085 ; 0.67 ; 0.00 ; 290 ; 0 ; 0.72 ; 0.434 ; 1.000 ; 
125952 ; 6424732.526 ; -0.0045 ; 0.6126 ; 1.27 ; 0.00 ; 82 ; 0 ; 0.45 ; 0.414 ; 0.486 ; 
125953 ; 6424757.692 ; 0.0785 ; 0.5691 ; 3.26 ; 0.00 ; 765 ; 0 ; 0.81 ; 0.618 ; 1.000 ; 
125954 ; 6424791.246 ; 0.1757 ; 0.5704 ; 1.33 ; 0.00 ; 244 ; 0 ; 0.80 ; 0.609 ; 1.000 ; 
125955 ; 6424824.801 ; 0.2830 ; 0.5732 ; 2.60 ; 0.00 ; 535 ; 0 ; 0.67 ; 0.379 ; 0.957 ; 
125956 ; 6424861.711 ; 0.2462 ; 0.5595 ; 0.78 ; 0.00 ; 342 ; 0 ; 0.40 ; 0.000 ; 0.000 ; 
125957 ; 6424906.170 ; 0.1890 ; 0.5436 ; 1.38 ; 0.00 ; 219 ; 0 ; 0.32 ; 0.000 ; 0.000 ; 
125958 ; 6424925.884 ; 0.1452 ; 0.5304 ; 0.85 ; 0.00 ; 140 ; 0 ; 0.36 ; 0.000 ; 0.000 ; 
125959 ; 6424960.277 ; 0.1068 ; 0.5187 ; 0.53 ; 0.00 ; 90 ; 0 ; 0.38 ; 0.000 ; 0.000 ; 
125960 ; 6424993.831 ; 0.0738 ; 0.5085 ; 0.34 ; 0.00 ; 57 ; 0 ; 0.38 ; 0.000 ; 0.000 ; 
125961 ; 6425028.644 ; 0.1637 ; 0.5140 ; 9.78 ; 0.00 ; 192 ; 0 ; 0.82 ; 0.638 ; 1.000 ; 
125962 ; 6425071.007 ; 0.2700 ; 0.5222 ; 0.24 ; 0.00 ; 147 ; 0 ; 0.71 ; 0.416 ; 1.000 ; 
125963 ; 6425097.011 ; 0.2894 ; 0.5205 ; 0.27 ; 0.00 ; 247 ; 0 ; 0.55 ; 0.586 ; 0.523 ; 
125964 ; 6425132.663 ; 0.2373 ; 0.5112 ; 2.27 ; 0.00 ; 216 ; 0 ; 0.38 ; 0.000 ; 0.000 ; 
125965 ; 6425166.217 ; 0.1861 ; 0.5454 ; 3.48 ; 0.00 ; 293 ; 0 ; 0.16 ; 0.000 ; 0.000 ; 
125966 ; 6425202.708 ; 0.1337 ; 0.5437 ; 0.70 ; 0.00 ; 188 ; 0 ; 0.35 ; 0.000 ; 0.000 ; 
125967 ; 6425243.392 ; 0.0922 ; 0.6201 ; 0.80 ; 0.00 ; 120 ; 0 ; 0.46 ; 0.000 ; 0.000 ; 
125968 ; 6425271.075 ; 0.0527 ; 0.6155 ; 0.50 ; 0.00 ; 77 ; 0 ; 0.38 ; 0.000 ; 0.000 ; 
125969 ; 6425305.049 ; 0.0175 ; 0.6092 ; 0.32 ; 0.00 ; 49 ; 0 ; 0.38 ; 0.000 ; 0.000 ; 
125970 ; 6425338.184 ; -0.0130 ; 0.6048 ; 0.20 ; 0.00 ; 31 ; 0 ; 0.40 ; 0.000 ; 0.000 ; 
125971 ; 6425371.738 ; -0.0143 ; 0.6046 ; 1.32 ; 0.00 ; 207 ; 0 ; 0.82 ; 0.635 ; 1.000 ; 
125972 ; 6425412.423 ; -0.0317 ; 0.5786 ; 0.34 ; 0.00 ; 530 ; 0 ; 0.20 ; 0.000 ; 0.000 ; 
125973 ; 6425439.266 ; -0.0494 ; 0.6859 ; 1.23 ; 0.00 ; 491 ; 0 ; 0.47 ; 0.600 ; 0.331 ; 
125974 ; 6425474.079 ; -0.0501 ; 0.6877 ; 2.18 ; 0.00 ; 761 ; 0 ; 0.05 ; 0.000 ; 0.000 ; 
125975 ; 6425509.731 ; -0.0501 ; 0.6877 ; 2.85 ; 0.00 ; 1332 ; 0 ; 0.57 ; 0.614 ; 0.517 ; 
125976 ; 6425542.866 ; -0.0653 ; 0.7479 ; 4.27 ; 0.00 ; 1949 ; 0 ; 0.45 ; 0.000 ; 0.000 ; 
125977 ; 6425585.228 ; -0.0657 ; 0.7449 ; 2.91 ; 0.00 ; 2094 ; 0 ; 0.58 ; 0.623 ; 0.531 ; 
125978 ; 6425611.233 ; -0.0792 ; 0.8478 ; 2.24 ; 0.00 ; 1092 ; 0 ; 0.49 ; 0.613 ; 0.360 ; 
125979 ; 6425646.884 ; -0.0796 ; 0.8474 ; 3.83 ; 0.00 ; 1684 ; 0 ; 0.57 ; 0.667 ; 0.476 ; 
125980 ; 6425681.697 ; -0.0796 ; 0.8474 ; 5.16 ; 0.00 ; 2299 ; 0 ; 0.52 ; 0.611 ; 0.436 ; 
125981 ; 6425715.671 ; -0.0796 ; 0.8474 ; 3.27 ; 0.00 ; 2833 ; 0 ; 0.57 ; 0.623 ; 0.515 ; 
125982 ; 6425755.936 ; -0.0796 ; 0.8474 ; 7.16 ; 0.00 ; 3310 ; 0 ; 0.47 ; 0.414 ; 0.527 ; 
125983 ; 6425786.974 ; -0.0796 ; 0.8474 ; 14.80 ; 0.00 ; 1990 ; 0 ; 0.80 ; 0.605 ; 1.000 ; 
125984 ; 6425820.948 ; 0.0232 ; 0.8137 ; 6.55 ; 0.00 ; 2211 ; 0 ; 0.84 ; 0.672 ; 1.000 ; 
125985 ; 6425854.083 ; 0.1157 ; 0.7839 ; 3.67 ; 0.00 ; 999 ; 0 ; 0.82 ; 0.647 ; 1.000 ; 
125986 ; 6425888.896 ; 0.1492 ; 0.7521 ; 1.57 ; 0.00 ; 639 ; 0 ; 0.37 ; 0.410 ; 0.339 ; 
125987 ; 6425928.322 ; 0.1096 ; 0.7116 ; 2.75 ; 0.00 ; 409 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
125988 ; 6425954.746 ; 0.0868 ; 0.6789 ; 1.71 ; 0.00 ; 262 ; 0 ; 0.29 ; 0.000 ; 0.000 ; 
125989 ; 6425989.979 ; 0.0547 ; 0.6487 ; 1.07 ; 0.00 ; 168 ; 0 ; 0.38 ; 0.000 ; 0.000 ; 
125990 ; 6426022.694 ; 0.0277 ; 0.6217 ; 0.67 ; 0.00 ; 107 ; 0 ; 0.37 ; 0.000 ; 0.000 ; 
125991 ; 6426056.249 ; 0.0265 ; 0.6205 ; 1.08 ; 0.00 ; 152 ; 0 ; 0.78 ; 0.628 ; 0.937 ; 
125992 ; 6426096.514 ; 0.0265 ; 0.6205 ; 2.08 ; 0.00 ; 381 ; 0 ; 0.71 ; 0.418 ; 1.000 ; 
125993 ; 6426123.357 ; 0.0265 ; 0.6205 ; 9.53 ; 0.00 ; 962 ; 0 ; 0.33 ; 0.000 ; 0.000 ; 
125994 ; 6426158.590 ; 0.0024 ; 0.4974 ; 8.98 ; 0.00 ; 1579 ; 0 ; 0.39 ; 0.000 ; 0.000 ; 
125995 ; 6426192.983 ; -0.0006 ; 0.5440 ; 17.37 ; 0.00 ; 2171 ; 0 ; 0.46 ; 0.616 ; 0.309 ; 
125996 ; 6426227.376 ; -0.0253 ; 0.4507 ; 4.60 ; 0.00 ; 1390 ; 0 ; 0.40 ; 0.000 ; 0.000 ; 
125997 ; 6426270.997 ; -0.0491 ; 0.4720 ; 1.59 ; 0.00 ; 689 ; 0 ; 0.33 ; 0.000 ; 0.000 ; 
125998 ; 6426296.582 ; -0.0412 ; 0.5257 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.40 ; 0.000 ; 0.000 ; 
125999 ; 6426337.267 ; -0.0425 ; 0.5468 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.40 ; 0.000 ; 0.000 ; 
126000 ; 6426376.274 ; 0.0258 ; 0.5716 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.49 ; 0.586 ; 0.386 ; 
126001 ; 6426418.636 ; 0.0055 ; 0.5321 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.39 ; 0.000 ; 0.000 ; 
126002 ; 6426468.968 ; -0.0382 ; 0.4787 ; 18.03 ; 0.00 ; 7362 ; 0 ; 0.39 ; 0.000 ; 0.000 ; 
126003 ; 6426513.008 ; -0.0527 ; 0.4589 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.58 ; 0.495 ; 0.667 ; 
126004 ; 6426557.468 ; -0.0527 ; 0.4589 ; 30.38 ; 0.00 ; 9862 ; 0 ; 0.20 ; 0.000 ; 0.000 ; 
126005 ; 6426603.605 ; -0.0527 ; 0.4589 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.64 ; 0.000 ; 0.000 ; 
126006 ; 6426646.387 ; -0.0527 ; 0.4589 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.31 ; 0.000 ; 0.000 ; 
126007 ; 6426693.783 ; -0.0633 ; 0.4437 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.26 ; 0.000 ; 0.000 ; 
126008 ; 6426734.887 ; -0.0854 ; 0.4383 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
126009 ; 6426743.695 ; -0.0845 ; 0.4485 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.23 ; 0.000 ; 0.000 ; 
126010 ; 6426752.503 ; -0.0710 ; 0.4597 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
126011 ; 6426796.963 ; -0.0552 ; 0.4683 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
126012 ; 6426842.681 ; -0.0318 ; 0.4800 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.23 ; 0.000 ; 0.000 ; 
126013 ; 6426852.747 ; -0.0185 ; 0.4851 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.21 ; 0.000 ; 0.000 ; 
126014 ; 6426859.877 ; -0.0211 ; 0.4833 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.30 ; 0.000 ; 0.000 ; 
126015 ; 6426926.147 ; -0.0211 ; 0.4833 ; 4.82 ; 0.00 ; 2121 ; 0 ; 0.04 ; 0.000 ; 0.000 ; 
126016 ; 6426975.640 ; -0.0211 ; 0.4833 ; 5.55 ; 0.00 ; 2045 ; 0 ; 0.11 ; 0.000 ; 0.000 ; 
126017 ; 6427021.358 ; -0.0211 ; 0.4833 ; 5.20 ; 0.00 ; 2193 ; 0 ; 0.14 ; 0.000 ; 0.000 ; 
126018 ; 6427066.656 ; -0.0464 ; 0.4924 ; 13.88 ; 0.60 ; 2800 ; 385 ; 0.59 ; 0.000 ; 0.000 ; 
126019 ; 6427118.246 ; -0.0786 ; 0.5011 ; 14.74 ; 0.88 ; 3198 ; 229 ; -2.06 ; 0.000 ; 0.000 ; 
