Time,Total length,FPS,Annotation code,startstop,manual,Time (mm:ss.ms),Time (ms),Ceiling camera time (ms),Ceiling camera time (mm:ss.ms),,
124.254,1321.53,30,C,START,BIMANUAL,02:04.254,124254,134296.6013,02:14.214,,
143.852,1321.53,30,C,STOP,BIMANUAL,02:23.852,143852,154652,02:35.235,How much is the microscope video behind?,
149.954,1321.53,30,C,START,BIMANUAL,02:29.954,149954,160989.8224,02:41.241,delay when paper pulled away (ms),10800
158.564,1321.53,30,C,STOP,BIMANUAL,02:38.564,158564,169932.5707,02:50.250,delay at 11:41.167 (ceiling video) (ms),32800
159.407,1321.53,30,C,START,BIMANUAL,02:39.407,159407,170808.1499,02:51.251,increase in delay per millisecond,0.038646732
185.699,1321.53,30,C,STOP,BIMANUAL,03:05.699,185699,198116.2498,03:18.318,,
197.079,1321.53,30,C,START,BIMANUAL,03:17.079,197079,209936.0496,03:30.330,,
218.656,1321.53,30,C,STOP,BIMANUAL,03:38.656,218656,232346.9301,03:52.352,,
226.233,1321.53,30,C,START,BIMANUAL,03:46.233,226233,240216.7564,04:00.40,,
231.377,1321.53,30,C,STOP,BIMANUAL,03:51.377,231377,245559.5552,04:06.46,,
241.334,1321.53,30,C,START,BIMANUAL,04:01.334,241334,255901.3607,04:16.416,,
259.936,1321.53,30,C,STOP,BIMANUAL,04:19.936,259936,275222.2672,04:35.435,,
284.854,1321.53,30,C,START,BIMANUAL,04:44.854,284854,301103.2665,05:01.51,,
286.861,1321.53,30,C,STOP,BIMANUAL,04:46.861,286861,303187.8305,05:03.53,,
286.861,1321.53,30,EVS,START,BIMANUAL,04:46.861,286861,303187.8305,05:03.53,,
289.13,1321.53,30,EVS,STOP,BIMANUAL,04:49.130,289130,305544.5199,05:06.56,,
289.822,1321.53,30,C,START,BIMANUAL,04:49.822,289822,306263.2635,05:06.56,,
294.204,1321.53,30,C,STOP,BIMANUAL,04:54.204,294204,310814.6134,05:11.511,,
310.213,1321.53,30,C,START,BIMANUAL,05:10.213,310213,327442.309,05:27.527,,
338.001,1321.53,30,C,STOP,BIMANUAL,05:38.001,338001,356304.2244,05:56.556,,
338.133,1321.53,30,EVS,START,SINGLE,05:38.133,338133,356441.3257,05:56.556,,
340.283,1321.53,30,EVS,STOP,SINGLE,05:40.283,340283,358674.4162,05:59.559,,
341.473,1321.53,30,C,START,BIMANUAL,05:41.473,341473,359910.4058,06:00.60,,
347.906,1321.53,30,C,STOP,BIMANUAL,05:47.906,347906,366592.0203,06:07.67,,
347.906,1321.53,30,EVS,START,BIMANUAL,05:47.906,347906,366592.0203,06:07.67,,
350.516,1321.53,30,EVS,STOP,BIMANUAL,05:50.516,350516,369302.8882,06:09.69,,
369.688,1321.53,30,EVS,START,BIMANUAL,06:09.688,369688,389215.8234,06:29.629,,
372.721,1321.53,30,EVS,STOP,BIMANUAL,06:12.721,372721,392366.0389,06:32.632,,
372.933,1321.53,30,C,START,BIMANUAL,06:12.933,372933,392586.232,06:33.633,,
415.553,1321.53,30,C,STOP,BIMANUAL,06:55.553,415553,436853.3557,07:17.717,,
415.553,1321.53,30,EVS,START,BIMANUAL,06:55.553,415553,436853.3557,07:17.717,,
418.119,1321.53,30,EVS,STOP,BIMANUAL,06:58.119,418119,439518.5232,07:20.720,,
418.185,1321.53,30,C,START,BIMANUAL,06:58.185,418185,439587.0739,07:20.720,,
429.505,1321.53,30,C,STOP,BIMANUAL,07:09.505,429505,451344.5549,07:31.731,,
438.559,1321.53,30,C,START,BIMANUAL,07:18.559,438559,460748.4624,07:41.741,,
443.933,1321.53,30,C,STOP,BIMANUAL,07:23.933,443933,466330.15,07:46.746,,
444.021,1321.53,30,EVS,START,BIMANUAL,07:24.021,444021,466421.5509,07:46.746,,
450.803,1321.53,30,EVS,STOP,BIMANUAL,07:30.803,450803,473465.653,07:53.753,,
451.373,1321.53,30,C,START,BIMANUAL,07:31.373,451373,474057.6817,07:54.754,,
452.164,1321.53,30,C,STOP,BIMANUAL,07:32.164,452164,474879.2512,07:55.755,,
452.429,1321.53,30,EVS,START,SINGLE,07:32.429,452429,475154.4926,07:55.755,,
459.14,1321.53,30,EVS,STOP,SINGLE,07:39.140,459140,482124.8508,08:02.82,,
459.4,1321.53,30,C,START,BIMANUAL,07:39.400,459400,482394.899,08:02.82,,
461.023,1321.53,30,C,STOP,BIMANUAL,07:41.023,461023,484080.6226,08:04.84,,
461.852,1321.53,30,EVS,START,SINGLE,07:41.852,461852,484941.6608,08:05.85,,
463.72,1321.53,30,EVS,STOP,SINGLE,07:43.720,463720,486881.8529,08:07.87,,
463.722,1321.53,30,C,START,BIMANUAL,07:43.722,463722,486883.9302,08:07.87,,
465.487,1321.53,30,C,STOP,BIMANUAL,07:45.487,465487,488717.1416,08:09.89,,
465.939,1321.53,30,EVS,START,BIMANUAL,07:45.939,465939,489186.61,08:09.89,,
467.83,1321.53,30,EVS,STOP,BIMANUAL,07:47.830,467830,491150.6909,08:11.811,,
467.832,1321.53,30,C,START,BIMANUAL,07:47.832,467832,491152.7682,08:11.811,,
479.209,1321.53,30,C,STOP,BIMANUAL,07:59.209,479209,502969.4521,08:23.823,,
479.209,1321.53,30,EVS,START,SINGLE,07:59.209,479209,502969.4521,08:23.823,,
483.277,1321.53,30,EVS,STOP,SINGLE,08:03.277,483277,507194.667,08:27.827,,
491.564,1321.53,30,EVS,START,BIMANUAL,08:11.564,491564,515801.9325,08:36.836,,
497.647,1321.53,30,EVS,STOP,BIMANUAL,08:17.647,497647,522120.0205,08:42.842,,
497.653,1321.53,30,C,START,BIMANUAL,08:17.653,497653,522126.2524,08:42.842,,
550.73,1321.53,30,C,STOP,BIMANUAL,09:10.730,550730,577254.505,09:37.937,,
551.096,1321.53,30,EVS,START,BIMANUAL,09:11.096,551096,577634.6497,09:38.938,,
553.161,1321.53,30,EVS,STOP,BIMANUAL,09:13.161,553161,579779.4552,09:40.940,,
553.267,1321.53,30,C,START,BIMANUAL,09:13.267,553267,579889.5518,09:40.940,,
576.865,1321.53,30,C,STOP,BIMANUAL,09:36.865,576865,604399.5374,10:04.104,,
614.705,1321.53,30,C,START,BIMANUAL,10:14.705,614705,643701.9297,10:44.1044,,
667.637,1321.53,30,C,STOP,BIMANUAL,11:07.637,667637,698679.5785,11:39.1139,,
683.639,1321.53,30,C,START,BIMANUAL,11:23.639,683639,715300.0035,11:55.1155,,
701.81,1321.53,30,C,STOP,BIMANUAL,11:41.810,701810,734173.2533,12:14.1214,,
701.95,1321.53,30,EVS,START,BIMANUAL,11:41.950,701950,734318.6638,12:14.1214,,
707.158,1321.53,30,EVS,STOP,BIMANUAL,11:47.158,707158,739727.936,12:20.1220,,
707.16,1321.53,30,C,START,BIMANUAL,11:47.160,707160,739730.0133,12:20.1220,,
726.547,1321.53,30,C,STOP,BIMANUAL,12:06.547,726547,759866.2575,12:40.1240,,
726.792,1321.53,30,EVS,START,BIMANUAL,12:06.792,726792,760120.726,12:40.1240,,
734.513,1321.53,30,EVS,STOP,BIMANUAL,12:14.513,734513,768140.1174,12:48.1248,,
734.704,1321.53,30,C,START,BIMANUAL,12:14.704,734704,768338.4989,12:48.1248,,
738.297,1321.53,30,C,STOP,BIMANUAL,12:18.297,738297,772070.3566,12:52.1252,,
739.514,1321.53,30,ST,START,BIMANUAL,12:19.514,739514,773334.3897,12:53.1253,,
766.49,1321.53,30,ST,STOP,BIMANUAL,12:46.490,766490,801352.9239,13:21.1321,,
766.491,1321.53,30,C,START,BIMANUAL,12:46.491,766491,801353.9626,13:21.1321,,
794.873,1321.53,30,C,STOP,BIMANUAL,13:14.873,794873,830832.8341,13:51.1351,,
798.178,1321.53,30,EVS,START,BIMANUAL,13:18.178,798178,834265.5616,13:54.1354,,
