Time,Total length,FPS,Annotation code,startstop,Manual,Time (mm:ss:ms),Time (ms),Ceiling camera time (ms),Ceiling camera time (mm:ss:ms)
51.549,1165.27,30,EVS,START,BIMANUAL,00:51.549,51549,52248.09448,00:52.248
57.293,1165.27,30,EVS,STOP,BIMANUAL,00:57.293,57293,58493,00:58.493
57.297,1165.27,30,C,START,BIMANUAL,00:57.297,57297,58497.34882,00:58.497
69.99,1165.27,30,C,STOP,BIMANUAL,01:09.990,69990,72297.24189,01:12.297
70.074,1165.27,30,EVS,START,SINGLE,01:10.074,70074,72388.56711,01:12.389
78.498,1165.27,30,EVS,STOP,SINGLE,01:18.498,78498,81547.18203,01:21.547
78.507,1165.27,30,C,START,BIMANUAL,01:18.507,78507,81556.96687,01:21.557
85.279,1165.27,30,C,STOP,BIMANUAL,01:25.279,85279,88919.51913,01:28.920
85.676,1165.27,30,EVS,START,BIMANUAL,01:25.676,85676,89351.13952,01:29.351
89.204,1165.27,30,EVS,STOP,BIMANUAL,01:29.204,89204,93186.79876,01:33.187
89.205,1165.27,30,C,START,BIMANUAL,01:29.205,89205,93187.88596,01:33.188
95.491,1165.27,30,C,STOP,BIMANUAL,01:35.491,95491,100022.0566,01:40.022
95.998,1165.27,30,EVS,START,BIMANUAL,01:35.998,95998,100573.2695,01:40.573
103.205,1165.27,30,EVS,STOP,BIMANUAL,01:43.205,103205,108408.756,01:48.409
110.559,1165.27,30,EVS,START,BIMANUAL,01:50.559,110559,116404.0615,01:56.404
115.303,1165.27,30,EVS,STOP,BIMANUAL,01:55.303,115303,121561.7621,02:01.562
115.304,1165.27,30,C,START,BIMANUAL,01:55.304,115304,121562.8493,02:01.563
127.088,1165.27,30,C,STOP,BIMANUAL,02:07.088,127088,134374.473,02:14.374
127.235,1165.27,30,EVS,START,BIMANUAL,02:07.235,127235,134534.2921,02:14.534
129.99,1165.27,30,EVS,STOP,BIMANUAL,02:09.990,129990,137529.5419,02:17.530
130.046,1165.27,30,C,START,BIMANUAL,02:10.046,130046,137590.4254,02:17.590
132.397,1165.27,30,C,STOP,BIMANUAL,02:12.397,132397,140146.4443,02:20.146
132.495,1165.27,30,EVS,START,BIMANUAL,02:12.495,132495,140252.9904,02:20.253
140.087,1165.27,30,EVS,STOP,BIMANUAL,02:20.087,140087,148507.0508,02:28.507
140.209,1165.27,30,C,START,BIMANUAL,02:20.209,140209,148639.6898,02:28.640
141.226,1165.27,30,C,STOP,BIMANUAL,02:21.226,141226,149745.3773,02:29.745
141.226,1165.27,30,EVS,START,BIMANUAL,02:21.226,141226,149745.3773,02:29.745
144.409,1165.27,30,EVS,STOP,BIMANUAL,02:24.409,144409,153205.9508,02:33.206
144.7,1165.27,30,C,START,BIMANUAL,02:24.700,144700,153522.3274,02:33.522
162.099,1165.27,30,C,STOP,BIMANUAL,02:42.099,162099,172438.6072,02:52.439
