type,time (mm:ss.ms),time (ms),time (s),frame,note
start,01:43.196,103043.20,103.043196,3091.29588,
stop,01:49.788,109049.79,109.049788,3271.49364,
start,04:26.015,266026.02,266.026015,7980.78045,
stop,04:36.001,276036.00,276.036001,8281.08003,
start,04:56.565,296056.57,296.056565,8881.69695,Intervention
stop,05:10.507,310010.51,310.010507,9300.31521,
start,05:39.424,339039.42,339.039424,10171.18272,
stop,06:09.706,369009.71,369.009706,11070.29118,
start,08:22.388,502022.39,502.022388,15060.67164,
stop,08:34.745,514034.75,514.034745,15421.04235,
start,10:29.295,629029.30,629.029295,18870.87885,
stop,10:57.868,657057.87,657.057868,19711.73604,tools barely visible
start,11:18.862,678018.86,678.018862,20340.56586,
stop,11:34.891,694034.89,694.034891,20821.04673,
start,12:26.904,746026.90,746.026904,22380.80712,
stop,12:49.141,769049.14,769.049141,23071.47423,tools barely visible
start,12:55.868,775055.87,775.055868,23251.67604,
stop,13:12.377,792012.38,792.012377,23760.37131,tools barely visible
start,13:53.649,833053.65,833.053649,24991.60947,
stop,13:56.085,836056.09,836.056085,25081.68255,
start,14:21.792,861021.79,861.021792,25830.65376,
stop,14:29.769,869029.77,869.029769,26070.89307,
start,15:08.085,908008.09,908.008085,27240.24255,
stop,15:14.483,914014.48,914.014483,27420.43449,
start,15:55.128,955055.13,955.055128,28651.65384,
stop,16:09.605,969009.61,969.009605,29070.28815,
start,19:04.235,1144004.24,1144.004235,34320.12705,did not return
stop,19:25.267,1165025.27,1165.025267,34950.75801,end of video
