,mag_chg,class,action,action_change,gaze_tool_mean,gaze_tool_sd,gaze_tool_mean_norm,gaze_tool_sd_norm,gaze_missing
0,"(0, 10713]",microforceps,D,0.0,47.54415838092474,9.25651038894143,1.0,0.1946929066401404,0.012544802867383513
1,"(0, 10713]",microforceps,D,1.0,19.582662187733185,9.641072429759268,0.411883664673092,0.2027814301078758,0.01937984496124031
2,"(0, 10713]",microforceps,D,11.0,32.209414951736996,13.184707046139081,0.6774631426572856,0.2773149740185313,0.031088082901554404
3,"(0, 10713]",microforceps,EVS,10.0,34.3260293244651,11.679445342111721,0.721982058225624,0.2456546869235916,0.03076923076923077
4,"(0, 10713]",microforceps,EVS,12.0,31.555933179170438,8.379431710468266,0.663718409448826,0.17624524223001473,0.0
5,"(0, 10713]",microscissors,D,0.0,76.14006233517127,10.108433994849886,0.7556875510550138,0.10032586651877184,0.012544802867383513
6,"(0, 10713]",microscissors,D,1.0,51.213520438157914,7.632872496674039,0.5082924633086381,0.07575600213111908,0.01937984496124031
7,"(0, 10713]",microscissors,D,11.0,93.76581192203915,9.522236133456119,0.9306225213230435,0.09450787251240608,0.031088082901554404
8,"(0, 10713]",microscissors,EVS,10.0,97.86687856127409,5.110318809274839,0.9713254694198603,0.050719741850111404,0.03076923076923077
9,"(0, 10713]",microscissors,EVS,12.0,100.7560098467578,6.599286431945578,1.0,0.06549769529363647,0.0
10,"(10713, 32300]",microforceps,D,14.0,61.593237195857476,19.114083860012315,0.43220403440119204,0.13412485744028482,0.11180609851446442
11,"(10713, 32300]",microforceps,D,16.0,74.30229853468458,11.114077407083261,0.5213844028014866,0.0779882550857644,0.07647058823529412
12,"(10713, 32300]",microforceps,D,19.0,18.438807636848086,6.328955419382331,0.12938639715999922,0.04441072088976522,0.043478260869565216
13,"(10713, 32300]",microforceps,D,21.0,50.36158370856301,8.744154932271085,0.3533907397732654,0.06135834405227241,0.02040816326530612
15,"(10713, 32300]",microforceps,D,25.0,49.852747651550345,46.8377447141206,0.34982020172879874,0.32866371616943574,0.06432748538011696
17,"(10713, 32300]",microforceps,D,32.0,104.54027362847016,47.48272825724811,0.7335663796327978,0.3331896106044961,0.1559633027522936
18,"(10713, 32300]",microforceps,D,34.0,142.50963039064033,19.971981861308496,1.0,0.14014478745444986,0.013745704467353952
21,"(10713, 32300]",microforceps,D,40.0,53.89531003961273,20.90323502329812,0.37818714350656574,0.14667945573923116,0.08311688311688312
22,"(10713, 32300]",microforceps,D,44.0,73.50125326501825,22.423082846286515,0.5157634123640645,0.1573443337465789,0.05935251798561151
25,"(10713, 32300]",microforceps,D,50.0,48.39359666325558,15.706576907138007,0.33958123763707376,0.11021414387283104,0.014778325123152709
26,"(10713, 32300]",microforceps,D,51.0,27.600908472787076,16.451150356903437,0.19367749672165196,0.11543886761763651,0.028125
